duration,count
170.344,1
148.485,1
168.259,1
169.237,1
183.956,1
237.146,1
250.158,1
257.265,1
226.333,1
200.6,1
265.427,1
187.888,1
233.63,1
207.853,1
206.064,1
230.761,1
175.238,1
139.672,1
143.264,1
193.98,1
199.877,1
234.546,1
159.65,1
199.549,1
163.854,1
210.36,1
230.746,1
165.264,1
192.947,1
252.733,1
187.703,1
178.426,1
185.146,1
236.39,1
163.025,1
188.453,1
255.946,1
184.104,1
169.85,1
208.786,1
190.306,1
154.983,1
222.58,1
183.636,1
217.706,1
155.588,1
227.36,1
241.616,1
229.525,1
176.658,1
