danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,Happy
0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,Energetic
0.446,0.801,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,Calm
0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,Happy
0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,Energetic
0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,Calm
0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,Energetic
0.612,0.99,0.037,0.947,0.108,0.103,-18.855,0.0408,113.008,Calm
0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,Sad
0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,Happy
0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,Sad
0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,Happy
0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,Calm
0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,Happy
0.186,0.886,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,Calm
0.435,0.014,0.774,0,0.127,0.448,-5.052,0.0631,147.466,Energetic
0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,Sad
0.507,0.00892,0.836,0.000598,0.485,0.333,-4.357,0.038,130.027,Energetic
0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,Happy
0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,Energetic
0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,Calm
0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,Happy
0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,Calm
0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,Calm
0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,Energetic
0.351,0.93,0.24,0.904,0.101,0.0968,-15.363,0.034,79.919,Calm
0.431,0.815,0.144,1.10E-06,0.124,0.0491,-12.07,0.039,137.683,Sad
0.941,0.321,0.421,9.34E-05,0.0967,0.787,-7.918,0.0583,107.011,Sad
0.619,0.237,0.663,0,0.111,0.142,-6.937,0.0366,123.93,Energetic
0.567,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,Calm
0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,Calm
